Ax,Ay,Az,Gx,Gy,Gz,Label
0.321,-0.023,0.910,-58.176,250.130,53.573,Pitch
0.184,-0.082,0.923,-49.626,250.130,43.267,Pitch
-0.070,-0.062,0.978,-6.786,250.130,38.053,Pitch
-0.217,-0.106,1.017,8.786,160.687,37.504,Pitch
-0.182,-0.067,0.967,23.450,97.137,32.183,Pitch
-0.271,-0.060,1.066,28.595,79.794,23.321,Pitch
-0.369,-0.081,1.078,29.527,12.672,16.710,Pitch
-0.444,-0.123,1.101,35.496,-94.504,10.282,Pitch
-0.345,-0.028,1.213,22.916,-167.794,-17.550,Pitch
-0.218,0.010,1.046,2.878,-250.137,-33.443,Pitch
0.056,0.008,0.910,-11.282,-250.137,-44.908,Pitch
0.254,-0.043,0.939,-4.557,-242.313,-40.130,Pitch
0.325,-0.024,0.891,11.344,-219.183,-28.305,Pitch
0.405,0.049,0.891,32.344,-215.290,-22.237,Pitch
0.470,0.050,0.840,29.092,-172.908,-20.008,Pitch
0.544,0.038,0.860,13.099,-106.908,-23.611,Pitch
0.542,0.056,0.806,2.817,-37.298,-17.305,Pitch
0.550,0.034,0.751,-24.107,77.901,-3.450,Pitch
0.489,0.029,0.782,-47.626,190.557,7.328,Pitch
0.411,0.011,0.849,-59.267,250.130,20.489,Pitch
0.271,-0.035,0.877,-73.069,250.130,31.672,Pitch
0.123,-0.093,1.093,-71.511,250.130,20.252,Pitch
-0.030,-0.094,0.998,-59.588,225.214,14.153,Pitch
-0.108,-0.140,0.973,-30.855,152.710,23.695,Pitch
-0.167,-0.147,0.993,-7.954,100.718,18.496,Pitch
-0.246,-0.170,1.056,12.588,32.107,7.473,Pitch
-0.251,-0.177,1.067,35.084,-59.496,2.450,Pitch
-0.179,-0.161,1.158,48.550,-136.168,0.275,Pitch
-0.087,-0.046,1.130,48.160,-203.603,-11.366,Pitch
-0.012,-0.006,1.006,30.901,-231.718,-19.420,Pitch
0.168,-0.063,0.978,30.366,-228.947,-24.679,Pitch
0.297,-0.014,0.971,34.443,-195.756,-20.634,Pitch
0.323,0.023,0.886,37.092,-176.412,-23.916,Pitch
0.404,0.037,0.825,21.321,-144.466,-28.565,Pitch
0.464,0.027,0.837,-0.336,-88.611,-27.015,Pitch
0.505,0.035,0.829,-11.832,-23.450,-24.092,Pitch
0.493,0.043,0.806,-18.252,21.405,-19.634,Pitch
0.469,-0.008,0.756,-34.504,88.000,3.710,Pitch
